"experiment","Group","senID","item","type","condition","sentence","selection","ID","w1","w2","w3"
"posterior","C","2","PO-C-2","co-argument","ta","李华说王刚把他出卖了。","Speaker","086c-77cc-a2e3-a3e5","lihua.png","wanggang.png","other.png"
"posterior","C","8","PO-C-8","co-argument","ta","小明说李华把他绊倒了。","Speaker","086c-77cc-a2e3-a3e5","xiaoming.png","lihua.png","other.png"
"posterior","C","18","PO-C-18","possessor","taziji","小明说张伟把他自己的想法忘记了。","Clause Subject","086c-77cc-a2e3-a3e5","xiaoming.png","zhangwei.png","other.png"
"posterior","C","11","PO-C-11","co-argument","ta","王刚说张伟把他置于危险中了。","Speaker","75b4-8100-e916-6edc","wanggang.png","zhangwei.png","other.png"
"posterior","C","10","PO-C-10","co-argument","ziji","王刚说小明把自己逼得太紧了。","Clause Subject","75b4-8100-e916-6edc","wanggang.png","xiaoming.png","other.png"
"posterior","C","2","PO-C-2","co-argument","ta","李华说王刚把他出卖了。","Speaker","75b4-8100-e916-6edc","lihua.png","wanggang.png","other.png"
"posterior","C","4","PO-C-4","co-argument","ziji","李华说张伟把自己当成小孩子了。","Speaker","75b4-8100-e916-6edc","lihua.png","zhangwei.png","other.png"
"posterior","C","26","PO-C-26","possessor","ta","李华说小明把他的玩具模型弄坏了。","Speaker","75b4-8100-e916-6edc","lihua.png","xiaoming.png","other.png"
"posterior","C","9","PO-C-9","co-argument","taziji","王刚说小明把他自己锁在教室里了。","Clause Subject","75b4-8100-e916-6edc","wanggang.png","xiaoming.png","other.png"
"posterior","C","17","PO-C-17","possessor","ta","小明说李华把他的演讲稿修改好了。","Clause Subject","75b4-8100-e916-6edc","xiaoming.png","lihua.png","other.png"
"posterior","C","29","PO-C-29","possessor","ta","张伟说王刚把他的衣服捐掉了。","Clause Subject","75b4-8100-e916-6edc","zhangwei.png","wanggang.png","other.png"
"posterior","C","22","PO-C-22","possessor","ziji","王刚说小明把自己的想法表达出来了。","Speaker","75b4-8100-e916-6edc","wanggang.png","xiaoming.png","other.png"
"posterior","C","27","PO-C-27","possessor","taziji","李华说小明把他自己的房间打扫干净了。","Clause Subject","75b4-8100-e916-6edc","lihua.png","xiaoming.png","other.png"
"posterior","C","16","PO-C-16","possessor","ziji","小明说王刚把自己的照片发到了朋友圈。","Speaker","75b4-8100-e916-6edc","xiaoming.png","wanggang.png","other.png"
"posterior","C","19","PO-C-19","possessor","ziji","小明说王刚把自己的作业遗漏了。","Clause Subject","75b4-8100-e916-6edc","xiaoming.png","wanggang.png","other.png"
"posterior","C","23","PO-C-23","possessor","ta","王刚说张伟把他的孩子搂在了怀里。","Others","75b4-8100-e916-6edc","wanggang.png","zhangwei.png","other.png"
"posterior","C","14","PO-C-14","co-argument","ta","张伟说李华把他弄骨折了。","Speaker","75b4-8100-e916-6edc","zhangwei.png","lihua.png","other.png"
"posterior","C","6","PO-C-6","co-argument","taziji","小明说张伟把他自己想像成侦探了。","Clause Subject","75b4-8100-e916-6edc","xiaoming.png","zhangwei.png","other.png"
"posterior","C","7","PO-C-7","co-argument","ziji","小明说李华把自己灌醉了。","Clause Subject","75b4-8100-e916-6edc","xiaoming.png","lihua.png","other.png"
"posterior","C","25","PO-C-25","possessor","ziji","李华说张伟把自己的小狗找回来了。","Speaker","75b4-8100-e916-6edc","lihua.png","zhangwei.png","other.png"
"posterior","C","12","PO-C-12","co-argument","taziji","王刚说张伟把他自己气哭了。","Clause Subject","75b4-8100-e916-6edc","wanggang.png","zhangwei.png","other.png"
"posterior","C","28","PO-C-28","possessor","ziji","张伟说小明把自己的秘密告诉了别人。","Speaker","75b4-8100-e916-6edc","zhangwei.png","xiaoming.png","other.png"
"posterior","C","5","PO-C-5","co-argument","ta","小明说李华把他弄伤了。","Speaker","75b4-8100-e916-6edc","xiaoming.png","lihua.png","other.png"
"posterior","C","30","PO-C-30","possessor","taziji","张伟说李华把他自己的文件删除了。","Clause Subject","75b4-8100-e916-6edc","zhangwei.png","lihua.png","other.png"
"posterior","C","1","PO-C-1","co-argument","ziji","李华说小明把自己弄糊涂了。","Speaker","75b4-8100-e916-6edc","lihua.png","xiaoming.png","other.png"
"posterior","C","3","PO-C-3","co-argument","taziji","李华说王刚把他自己照顾得很好。","Clause Subject","75b4-8100-e916-6edc","lihua.png","wanggang.png","other.png"
"posterior","C","20","PO-C-20","possessor","ta","王刚说李华把他的遭遇讲给了别人听。","Speaker","75b4-8100-e916-6edc","wanggang.png","lihua.png","other.png"
"posterior","C","21","PO-C-21","possessor","taziji","王刚说张伟把他自己的工作做完了。","Speaker","75b4-8100-e916-6edc","wanggang.png","zhangwei.png","other.png"
"posterior","C","18","PO-C-18","possessor","taziji","小明说张伟把他自己的想法忘记了。","Speaker","75b4-8100-e916-6edc","xiaoming.png","zhangwei.png","other.png"
"posterior","C","15","PO-C-15","co-argument","taziji","张伟说小明把他自己逗笑了。","Clause Subject","75b4-8100-e916-6edc","zhangwei.png","xiaoming.png","other.png"
"posterior","C","13","PO-C-13","co-argument","ziji","张伟说王刚把自己吓坏了。","Speaker","75b4-8100-e916-6edc","zhangwei.png","wanggang.png","other.png"
"posterior","C","8","PO-C-8","co-argument","ta","小明说李华把他绊倒了。","Speaker","75b4-8100-e916-6edc","xiaoming.png","lihua.png","other.png"
"posterior","C","24","PO-C-24","possessor","taziji","李华说王刚把他自己的证件弄丢了。","Clause Subject","75b4-8100-e916-6edc","lihua.png","wanggang.png","other.png"
"posterior","C","30","PO-C-30","possessor","taziji","张伟说李华把他自己的文件删除了。","Speaker","e907-1032-35f0-9c7a","zhangwei.png","lihua.png","other.png"
"posterior","C","15","PO-C-15","co-argument","taziji","张伟说小明把他自己逗笑了。","Clause Subject","e907-1032-35f0-9c7a","zhangwei.png","xiaoming.png","other.png"
"posterior","C","21","PO-C-21","possessor","taziji","王刚说张伟把他自己的工作做完了。","Clause Subject","e907-1032-35f0-9c7a","wanggang.png","zhangwei.png","other.png"
"posterior","C","20","PO-C-20","possessor","ta","王刚说李华把他的遭遇讲给了别人听。","Clause Subject","e907-1032-35f0-9c7a","wanggang.png","lihua.png","other.png"
"posterior","C","24","PO-C-24","possessor","taziji","李华说王刚把他自己的证件弄丢了。","Clause Subject","e907-1032-35f0-9c7a","lihua.png","wanggang.png","other.png"
"posterior","C","13","PO-C-13","co-argument","ziji","张伟说王刚把自己吓坏了。","Clause Subject","e907-1032-35f0-9c7a","zhangwei.png","wanggang.png","other.png"
"posterior","C","3","PO-C-3","co-argument","taziji","李华说王刚把他自己照顾得很好。","Clause Subject","e907-1032-35f0-9c7a","lihua.png","wanggang.png","other.png"
"posterior","C","1","PO-C-1","co-argument","ziji","李华说小明把自己弄糊涂了。","Clause Subject","e907-1032-35f0-9c7a","lihua.png","xiaoming.png","other.png"
"posterior","C","7","PO-C-7","co-argument","ziji","小明说李华把自己灌醉了。","Clause Subject","e907-1032-35f0-9c7a","xiaoming.png","lihua.png","other.png"
"posterior","C","25","PO-C-25","possessor","ziji","李华说张伟把自己的小狗找回来了。","Clause Subject","e907-1032-35f0-9c7a","lihua.png","zhangwei.png","other.png"
"posterior","C","19","PO-C-19","possessor","ziji","小明说王刚把自己的作业遗漏了。","Clause Subject","e907-1032-35f0-9c7a","xiaoming.png","wanggang.png","other.png"
"posterior","C","17","PO-C-17","possessor","ta","小明说李华把他的演讲稿修改好了。","Clause Subject","e907-1032-35f0-9c7a","xiaoming.png","lihua.png","other.png"
"posterior","C","22","PO-C-22","possessor","ziji","王刚说小明把自己的想法表达出来了。","Clause Subject","e907-1032-35f0-9c7a","wanggang.png","xiaoming.png","other.png"
"posterior","C","11","PO-C-11","co-argument","ta","王刚说张伟把他置于危险中了。","Speaker","e907-1032-35f0-9c7a","wanggang.png","zhangwei.png","other.png"
"posterior","C","23","PO-C-23","possessor","ta","王刚说张伟把他的孩子搂在了怀里。","Speaker","e907-1032-35f0-9c7a","wanggang.png","zhangwei.png","other.png"
"posterior","C","9","PO-C-9","co-argument","taziji","王刚说小明把他自己锁在教室里了。","Clause Subject","e907-1032-35f0-9c7a","wanggang.png","xiaoming.png","other.png"
"posterior","C","27","PO-C-27","possessor","taziji","李华说小明把他自己的房间打扫干净了。","Clause Subject","e907-1032-35f0-9c7a","lihua.png","xiaoming.png","other.png"
"posterior","C","14","PO-C-14","co-argument","ta","张伟说李华把他弄骨折了。","Speaker","e907-1032-35f0-9c7a","zhangwei.png","lihua.png","other.png"
